Name,CategoryId,PropertyIndex,Type,IsCanonical
System.Devices.DefaultTooltip,{880f70a2-6082-47ac-8aab-a739d1a300c3},153,String,True
System.Devices.NumaProximityDomain,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},1,UInt32,False
System.Devices.DynamicHardwarePartitionRebalancePolicy,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},2,UInt32,False
System.Devices.NumaNode,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},3,UInt32,False
System.Devices.BusReportedDeviceDesc,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},4,String,False
System.Devices.Present,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},5,Boolean,True
System.Devices.DeviceHasProblem,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},6,Boolean,True
System.Devices.ConfigurationId,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},7,String,False
System.Devices.ReportedDeviceIdsHash,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},8,UInt32,False
System.Devices.PhysicalDeviceLocation,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},9,Binary,True
System.Devices.BiosDeviceName,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},10,String,False
System.Devices.DriverProblemDescription,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},11,String,False
System.Devices.DebuggerSafe,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},12,UInt32,False
System.Devices.PostInstallInProgress,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},13,Boolean,False
System.Devices.Stack,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},14,StringList,False
System.Devices.ExtendedConfigurationIds,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},15,StringList,False
System.Devices.IsRebootRequired,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},16,Boolean,False
System.Devices.FirmwareDate,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},17,FileTime,False
System.Devices.FirmwareVersion,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},18,String,False
System.Devices.FirmwareRevision,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},19,String,False
System.Devices.DependencyProviders,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},20,StringList,False
System.Devices.DependencyDependents,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},21,StringList,False
System.Devices.SoftRestartSupported,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},22,Boolean,False
System.Devices.ExtendedAddress,{540b947e-8b40-45bc-a8a2-6a0b894cbda2},23,UInt64,False
System.Devices.Manufacturer,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},8192,String,True
System.Devices.ModelNumber,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},8195,String,True
System.Devices.PresentationUrl,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},8198,String,True
System.Devices.ServiceAddress,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},16384,StringList,True
System.Devices.ServiceId,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},16385,String,True
System.Devices.FriendlyName,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},12288,String,True
System.Devices.IpAddress,{656a3bb3-ecc0-43fd-8477-4ae0404a96cd},12297,StringList,True
System.Devices.InterfacePaths,{d08dd4c0-3a9e-462e-8290-7b636b2576b9},2,StringList,True
System.Devices.FunctionPaths,{d08dd4c0-3a9e-462e-8290-7b636b2576b9},3,StringList,True
System.Devices.Status1,{d08dd4c0-3a9e-462e-8290-7b636b2576b9},257,String,True
System.Devices.Status2,{d08dd4c0-3a9e-462e-8290-7b636b2576b9},258,String,True
System.Devices.Status,{d08dd4c0-3a9e-462e-8290-7b636b2576b9},259,StringList,True
System.Devices.AppPackageFamilyName,{51236583-0C4A-4FE8-B81F-166AEC13F510},100,String,True
System.Devices.GlyphIcon,{51236583-0c4a-4fe8-b81f-166aec13f510},123,String,True
System.Devices.DriverNodeStrongName,{83da6326-97a6-4088-9453-a1923f573b29},3,String,False
System.Devices.SessionId,{83da6326-97a6-4088-9453-a1923f573b29},6,UInt32,False
System.Devices.IsSoftwareInstalling,{83da6326-97a6-4088-9453-a1923f573b29},9,Boolean,True
System.Devices.LastKnownParent,{83da6326-97a6-4088-9453-a1923f573b29},10,FileTime,False
System.Devices.InstallDate,{83da6326-97a6-4088-9453-a1923f573b29},100,FileTime,False
System.Devices.FirstInstallDate,{83da6326-97a6-4088-9453-a1923f573b29},101,FileTime,False
System.Devices.LastArrivalDate,{83da6326-97a6-4088-9453-a1923f573b29},102,FileTime,False
System.Devices.LastRemovalDate,{83da6326-97a6-4088-9453-a1923f573b29},103,FileTime,False
System.Devices.NotificationStore,{06704b0c-e830-4c81-9178-91e4e95a80a0},2,Object,True
System.Devices.Notification,{06704b0c-e830-4c81-9178-91e4e95a80a0},3,String,True
System.Devices.PlaybackState,{3633de59-6825-4381-a49b-9f6ba13a1471},2,Byte,True
