Name,CategoryId,PropertyIndex,Type,IsCanonical
System.Devices.PlaybackState,{3633de59-6825-4381-a49b-9f6ba13a1471},2,Byte,True
System.Devices.PlaybackTitle,{3633de59-6825-4381-a49b-9f6ba13a1471},3,String,True
System.Devices.RemainingDuration,{3633de59-6825-4381-a49b-9f6ba13a1471},4,UInt64,True
System.Devices.PlaybackPositionPercent,{3633de59-6825-4381-a49b-9f6ba13a1471},5,UInt32,True
System.Devices.SafeRemovalRequired,{afd97640-86a3-4210-b67c-289c41aabe55},2,Boolean,True
System.Devices.InterfaceEnabled,{026e516e-b814-414b-83cd-856d6fef4822},3,Boolean,True
System.Devices.InterfaceClassGuid,{026e516e-b814-414b-83cd-856d6fef4822},4,Guid,True
System.Devices.RestrictedInterface,{026e516e-b814-414b-83cd-856d6fef4822},6,Boolean,True
System.Devices.ContainerId,{8c7ed206-3f8a-4827-b3ab-ae9e1faefc6c},2,Guid,True
System.Devices.InLocalMachineContainer,{8c7ed206-3f8a-4827-b3ab-ae9e1faefc6c},4,Boolean,True
System.Devices.WiaDeviceType,{6bdd1fc6-810f-11d0-bec7-08002be2092f},2,UInt32,True
System.Devices.HardwareIds,{a45c254e-df1c-4efd-8020-67d146a850e0},3,StringList,True
System.Devices.CompatibleIds,{a45c254e-df1c-4efd-8020-67d146a850e0},4,StringList,True
System.Devices.ClassGuid,{a45c254e-df1c-4efd-8020-67d146a850e0},10,Guid,True
System.Devices.DeviceManufacturer,{a45c254e-df1c-4efd-8020-67d146a850e0},13,String,True
System.Devices.DeviceCapabilities,{a45c254e-df1c-4efd-8020-67d146a850e0},17,UInt32,True
System.Devices.DeviceCharacteristics,{a45c254e-df1c-4efd-8020-67d146a850e0},29,UInt32,True
System.Devices.LocationPaths,{a45c254e-df1c-4efd-8020-67d146a850e0},37,StringList,True
System.Devices.DevObjectType,{13673f42-a3d6-49f6-b4da-ae46e0c5237c},2,UInt32,True
System.DeviceInterface.Bluetooth.DeviceAddress,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},1,String,True
System.DeviceInterface.Bluetooth.ServiceGuid,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},2,Guid,True
System.DeviceInterface.Bluetooth.Flags,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},3,UInt32,True
System.DeviceInterface.Bluetooth.Manufacturer,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},4,String,True
System.DeviceInterface.Bluetooth.ModelNumber,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},5,String,True
System.DeviceInterface.Bluetooth.VendorIdSource,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},6,Byte,True
System.DeviceInterface.Bluetooth.VendorId,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},7,UInt16,True
System.DeviceInterface.Bluetooth.ProductId,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},8,UInt16,True
System.DeviceInterface.Bluetooth.ProductVersion,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},9,UInt16,True
System.DeviceInterface.Bluetooth.LastConnectedTime,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},11,FileTime,True
System.DeviceInterface.Hid.UsagePage,{cbf38310-4a17-4310-a1eb-247f0b67593b},2,UInt16,True
System.DeviceInterface.Hid.UsageId,{cbf38310-4a17-4310-a1eb-247f0b67593b},3,UInt16,True
System.DeviceInterface.Hid.IsReadOnly,{cbf38310-4a17-4310-a1eb-247f0b67593b},4,Boolean,True
System.DeviceInterface.Hid.VendorId,{cbf38310-4a17-4310-a1eb-247f0b67593b},5,UInt16,True
System.DeviceInterface.Hid.ProductId,{cbf38310-4a17-4310-a1eb-247f0b67593b},6,UInt16,True
System.DeviceInterface.Hid.VersionNumber,{cbf38310-4a17-4310-a1eb-247f0b67593b},7,UInt16,True
System.DeviceInterface.Proximity.SupportsNfc,{fb3842cd-9e2a-4f83-8fcc-4b0761139ae9},2,Boolean,True
System.DeviceInterface.Serial.UsbVendorId,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},2,UInt16,True
System.DeviceInterface.Serial.UsbProductId,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},3,UInt16,True
System.DeviceInterface.Serial.PortName,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},4,String,True
System.DeviceInterface.WinUsb.UsbVendorId,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},2,UInt16,True
System.DeviceInterface.WinUsb.UsbProductId,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},3,UInt16,True
System.DeviceInterface.WinUsb.UsbClass,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},4,Byte,True
System.DeviceInterface.WinUsb.UsbSubClass,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},5,Byte,True
System.DeviceInterface.WinUsb.UsbProtocol,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},6,Byte,True
System.DeviceInterface.WinUsb.DeviceInterfaceClasses,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},7,StringList,True
